,ticker,type,date,quantity,price,nominal,real,cumulative nominal,cumulative real
26,INTU,gift,10/19/2012,100,60.86,6086,49698,61777,450506
1,ABT,gift,3/15/2013,60,34.51,2070,6456,63847,456962
47,CNI,gift,7/18/2013,25,50.97,1274,2926,65121,459888
43,WEX,gift,7/18/2013,50,84.68,4234,9638,69355,469526
42,UNP,gift,6/23/2014,50,100.63,5031,11460,74386,480986
27,INTU,gift,6/23/2014,16,79.54,1272,7951,75658,488937
37,SBUX,gift,6/23/2014,175,38.4,6720,17764,82378,506701
7,AMT,gift,10/10/2014,50,95.74,4787,9263,87165,515964
21,EOG,gift,1/13/2015,40,85.58,3423,5230,90588,521194
8,AMT,gift,3/12/2015,40,96.05,3842,7410,94430,528604
9,AMT,gift,10/20/2015,20,96.97,1939,3705,96369,532309
2,ABT,gift,10/20/2015,125,42.06,5257,13450,101626,545759
10,AMT,gift,11/12/2015,22,97.65,2148,4075,103774,549834
33,PAYC,gift,5/11/2016,80,39.44,3155,23495,106929,573329
4,GOOGL,gift,2/14/2017,10,840.43,8404,1282,115333,574611
44,WEX,gift,5/3/2017,20,98.98,1979,3855,117312,578466
22,EOG,gift,6/16/2017,100,88.47,8847,13075,126159,591541
13,BDX,gift,3/15/2018,20,224.72,4494,5395,130653,596936
14,BDX,gift,4/26/2018,20,232.86,4657,5395,135310,602331
32,MSFT,gift,6/15/2018,50,101.16,5058,16361,140368,618692
5,AMZN,gift,4/12/2019,5,1848.35,9241,671,149609,619363
35,CRM,gift,1/14/2020,55,182.58,10041,11828,159650,631191
6,AMZN,gift,1/14/2020,3,1865.99,5597,402,165247,631593
34,ROP,gift,1/14/2020,25,372.29,9307,12221,174554,643814
3,ADBE,gift,1/14/2020,30,345.97,10379,15759,184933,659573
55,CASH,Dividend,6/11/2020,76.5,1,76,3935,185009,663508
36,NOW,gift,6/11/2020,15,375.67,5635,8340,190644,671848
58,CASH,Tax Prep Fees,6/17/2020,-2,1,-2,-102,190642,671746
56,CASH,Dividend,6/17/2020,276.99,1,276,14251,190918,685997
57,CASH,foreign tax withheld,6/17/2020,-96.95,1,-96,-4988,190822,681009
59,CASH,Dividend,6/30/2020,48.5,1,48,2495,190870,683504
60,CASH,Dividend,6/30/2020,31.6,1,31,1625,190901,685129
61,CASH,Dividend,7/2/2020,118.3,1,118,6086,191019,691215
62,CASH,Dividend,7/6/2020,55.73,1,55,2867,191074,694082
63,CASH,foreign tax withheld,7/6/2020,-13.93,1,-13,-716,191061,693366
64,CASH,Dividend,7/7/2020,26.25,1,26,1350,191087,694716
65,CASH,foreign tax withheld,7/7/2020,-3.94,1,-3,-202,191084,694514
66,CASH,Dividend,7/13/2020,145.2,1,145,7470,191229,701984
67,CASH,Dividend,7/15/2020,23.5,1,23,1209,191252,703193
68,CASH,tax paid,7/15/2020,-1815,1,-1815,-93381,189437,609812
69,CASH,tax paid,7/15/2020,-1380,1,-1380,-71001,188057,538811
70,CASH,Dividend,7/20/2020,61.48,1,61,3163,188118,541974
71,CASH,Dividend,7/22/2020,12.81,1,12,659,188130,542633
72,CASH,Tax Prep Fees,7/24/2020,-175,1,-175,-9003,187955,533630
74,CASH,Dividend,8/3/2020,75,1,75,3858,188030,537488
75,CASH,Dividend,8/3/2020,86.25,1,86,4437,188116,541925
73,CASH,Dividend,8/3/2020,41.4,1,41,2130,188157,544055
76,CASH,Dividend,8/10/2020,76.4,1,76,3930,188233,547985
77,CASH,Dividend,8/17/2020,90,1,90,4630,188323,552615
78,CASH,Dividend,8/21/2020,71.75,1,71,3691,188394,556306
79,CASH,Dividend,9/1/2020,33.6,1,33,1728,188427,558034
80,CASH,Dividend,9/10/2020,76.5,1,76,3935,188503,561969
81,CASH,Dividend,9/30/2020,48.5,1,48,2495,188551,564464
82,CASH,Dividend,9/30/2020,31.6,1,31,1625,188582,566089
83,CASH,Dividend,10/2/2020,118.3,1,118,6086,188700,572175
84,CASH,Dividend,10/6/2020,26.25,1,26,1350,188726,573525
85,CASH,foreign tax withheld,10/6/2020,-3.94,1,-3,-202,188723,573323
87,CASH,foreign tax withheld,10/8/2020,-8.54,1,-8,-439,188715,572884
86,CASH,Dividend,10/8/2020,56.96,1,56,2930,188771,575814
88,CASH,tax paid,10/14/2020,-1555,1,-1555,-80004,187216,495810
89,CASH,tax paid,10/14/2020,-2585,1,-2585,-132998,184631,362812
90,CASH,Dividend,10/15/2020,23.5,1,23,1209,184654,364021
91,CASH,Dividend,10/16/2020,150.48,1,150,7742,184804,371763
92,CASH,Dividend,10/19/2020,68.44,1,68,3521,184872,375284
93,CASH,Dividend,10/20/2020,12.81,1,12,659,184884,375943
94,CASH,Tax Prep Fees,10/28/2020,-1790,1,-1790,-92095,183094,283848
95,CASH,misc disbursement,10/29/2020,-445.76,1,-445,-22934,182649,260914
97,CASH,Dividend,11/2/2020,86.25,1,86,4437,182735,265351
96,CASH,Dividend,11/2/2020,41.4,1,41,2130,182776,267481
98,CASH,Dividend,11/9/2020,76.4,1,76,3930,182852,271411
99,CASH,Dividend,11/16/2020,90,1,90,4630,182942,276041
100,CASH,Dividend,11/30/2020,78.75,1,78,4051,183020,280092
101,CASH,Dividend,12/2/2020,33.6,1,33,1728,183053,281820
102,CASH,Dividend,12/11/2020,84,1,84,4321,183137,286141
103,CASH,Dividend,12/30/2020,48.5,1,48,2495,183185,288636
106,CASH,Dividend,12/31/2020,33.2,1,33,1708,183218,290344
118,CASH,Dividend,12/31/2020,159.72,1,159,8217,183377,298561
104,CASH,Dividend,12/31/2020,59.46,1,59,3059,183436,301620
105,CASH,foreign tax withheld,12/31/2020,-8.92,1,-8,-458,183428,301162
107,CASH,Dividend,1/4/2021,120.9,1,120,6220,183548,307382
108,CASH,Dividend,1/6/2021,26.25,1,26,1350,183574,308732
109,CASH,foreign tax withheld,1/6/2021,-3.94,1,-3,-202,183571,308530
110,CASH,Gift,1/8/2021,1867.24,1,1867,96069,185438,404599
111,CASH,Gift,1/8/2021,1545.43,1,1545,79512,186983,484111
112,CASH,Dividend,1/15/2021,24,1,24,1234,187007,485345
113,CASH,Dividend,1/19/2021,68.44,1,68,3521,187075,488866
114,CASH,Gift,1/19/2021,332.31,1,332,17097,187407,505963
115,CASH,Dividend,1/22/2021,14.06,1,14,723,187421,506686
116,CASH,Dividend,1/29/2021,37.8,1,37,1944,187458,508630
117,CASH,Dividend,1/29/2021,94.5,1,94,4862,187552,513492
119,CASH,Dividend,2/9/2021,77.44,1,77,3984,187629,517476
120,CASH,Dividend,2/16/2021,112.5,1,112,5788,187741,523264
