,ticker,type,date,quantity,price,nominal,real,cumulative nominal,cumulative real
114,CASH,Gift,2021-01-19,332.31,1.0,332,16652,187407.0,510625.0
115,CASH,Dividend,2021-01-22,14.06,1.0,14,704,187421.0,511329.0
116,CASH,Dividend,2021-01-29,37.8,1.0,37,1894,187458.0,513223.0
117,CASH,Dividend,2021-01-29,94.5,1.0,94,4735,187552.0,517958.0
119,CASH,Dividend,2021-02-09,77.44,1.0,77,3880,187629.0,521838.0
120,CASH,Dividend,2021-02-16,112.5,1.0,112,5637,187741.0,527475.0
121,CASH,Dividend,2021-03-01,50.0,1.0,50,2505,187791.0,529980.0
122,CASH,Dividend,2021-03-04,88.14,1.0,88,4416,187879.0,534396.0
123,CASH,Dividend,2021-03-08,78.75,1.0,78,3946,187957.0,538342.0
124,CASH,Dividend,2021-03-11,84.0,1.0,84,4209,188041.0,542551.0
125,CASH,Dividend,2021-03-31,48.5,1.0,48,2430,188089.0,544981.0
126,CASH,Dividend,2021-04-01,79.05,1.0,79,3961,188168.0,548942.0
127,CASH,Dividend,2021-04-05,64.53,1.0,64,3233,188232.0,552175.0
128,CASH,foreign tax withheld,2021-04-05,-9.68,1.0,-9,-485,188223.0,551690.0
129,CASH,Dividend,2021-04-06,39.38,1.0,39,1973,188262.0,553663.0
130,CASH,foreign tax withheld,2021-04-06,-5.91,1.0,-5,-296,188257.0,553367.0
131,CASH,Dividend,2021-04-15,24.0,1.0,24,1202,188281.0,554569.0
132,CASH,Dividend,2021-04-16,5.2,1.0,5,260,188286.0,554829.0
133,CASH,Dividend,2021-04-19,62.54,1.0,62,3133,188348.0,557962.0
134,CASH,Dividend,2021-04-22,14.06,1.0,14,704,188362.0,558666.0
136,CASH,Dividend,2021-04-30,105.84,1.0,105,5303,188467.0,563969.0
135,CASH,Dividend,2021-04-30,163.68,1.0,163,8202,188630.0,572171.0
137,CASH,Dividend,2021-05-03,42.0,1.0,42,2104,188672.0,574275.0
138,CASH,Dividend,2021-05-10,77.44,1.0,77,3880,188749.0,578155.0
139,CASH,Dividend,2021-05-10,210.01,1.0,210,10523,188959.0,588678.0
140,CASH,foreign tax withheld,2021-05-10,-31.5,1.0,-31,-1578,188928.0,587100.0
141,CASH,Dividend,2021-05-17,112.5,1.0,112,5637,189040.0,592737.0
142,CASH,Tax Prep Fees,2021-05-17,-175.0,1.0,-175,-8769,188865.0,583968.0
143,CASH,Dividend,2021-05-28,78.75,1.0,78,3946,188943.0,587914.0
144,CASH,Dividend,2021-06-01,50.0,1.0,50,2505,188993.0,590419.0
145,CASH,Dividend,2021-06-03,88.14,1.0,88,4416,189081.0,594835.0
146,CASH,Dividend,2021-06-10,84.0,1.0,84,4209,189165.0,599044.0
147,CASH,Dividend,2021-06-30,37.45,1.0,37,1876,189202.0,600920.0
148,CASH,Dividend,2021-07-01,79.05,1.0,79,3961,189281.0,604881.0
149,CASH,Dividend,2021-07-02,65.37,1.0,65,3275,189346.0,608156.0
150,CASH,foreign tax withheld,2021-07-02,-9.81,1.0,-9,-491,189337.0,607665.0
151,CASH,Dividend,2021-07-07,39.38,1.0,39,1973,189376.0,609638.0
152,CASH,foreign tax withheld,2021-07-07,-5.91,1.0,-5,-296,189371.0,609342.0
153,CASH,Dividend,2021-07-12,167.64,1.0,167,8400,189538.0,617742.0
155,CASH,Dividend,2021-07-16,5.2,1.0,5,260,189543.0,618002.0
154,CASH,Dividend,2021-07-16,24.0,1.0,24,1202,189567.0,619204.0
156,CASH,Dividend,2021-07-19,59.59,1.0,59,2986,189626.0,622190.0
157,CASH,Dividend,2021-07-23,14.06,1.0,14,704,189640.0,622894.0
158,CASH,Dividend,2021-07-30,105.84,1.0,105,5303,189745.0,628197.0
159,CASH,Dividend,2021-07-30,42.0,1.0,42,2104,189787.0,630301.0
160,CASH,Dividend,2021-08-09,62.04,1.0,62,3108,189849.0,633409.0
161,CASH,Dividend,2021-08-13,81.75,1.0,81,4096,189930.0,637505.0
162,CASH,foreign tax withheld,2021-08-13,-12.26,1.0,-12,-614,189918.0,636891.0
163,CASH,Dividend,2021-08-16,112.5,1.0,112,5637,190030.0,642528.0
164,CASH,Dividend,2021-08-27,78.75,1.0,78,3946,190108.0,646474.0
165,CASH,Dividend,2021-09-01,50.0,1.0,50,2505,190158.0,648979.0
166,CASH,Dividend,2021-09-02,88.14,1.0,88,4416,190246.0,653395.0
167,CASH,Dividend,2021-09-09,84.0,1.0,84,4209,190330.0,657604.0
168,CASH,Dividend,2021-09-30,37.45,1.0,37,1876,190367.0,659480.0
169,CASH,Dividend,2021-09-30,63.62,1.0,63,3187,190430.0,662667.0
170,CASH,foreign tax withheld,2021-09-30,-9.54,1.0,-9,-478,190421.0,662189.0
171,CASH,Dividend,2021-10-06,55.8,1.0,55,2796,190476.0,664985.0
172,CASH,Dividend,2021-10-07,39.38,1.0,39,1973,190515.0,666958.0
173,CASH,foreign tax withheld,2021-10-07,-5.9,1.0,-5,-295,190510.0,666663.0
175,CASH,Dividend,2021-10-15,5.2,1.0,5,260,190515.0,666923.0
174,CASH,Dividend,2021-10-15,24.0,1.0,24,1202,190539.0,668125.0
176,CASH,Dividend,2021-10-18,55.08,1.0,55,2760,190594.0,670885.0
177,CASH,Dividend,2021-10-18,172.92,1.0,172,8665,190766.0,679550.0
178,CASH,Dividend,2021-10-20,14.06,1.0,14,704,190780.0,680254.0
179,CASH,Tax Prep Fees,2021-10-25,-1430.0,1.0,-1430,-71657,189350.0,608597.0
180,CASH,Dividend,2021-10-29,105.84,1.0,105,5303,189455.0,613900.0
181,CASH,Dividend,2021-11-02,42.0,1.0,42,2104,189497.0,616004.0
182,CASH,Dividend,2021-11-10,62.04,1.0,62,3108,189559.0,619112.0
183,CASH,Dividend,2021-11-15,112.5,1.0,112,5637,189671.0,624749.0
184,CASH,Dividend,2021-11-29,85.75,1.0,85,4296,189756.0,629045.0
185,CASH,Dividend,2021-12-01,50.0,1.0,50,2505,189806.0,631550.0
186,CASH,Dividend,2021-12-02,88.14,1.0,88,4416,189894.0,635966.0
187,CASH,Dividend,2021-12-09,93.0,1.0,93,4660,189987.0,640626.0
195,CASH,Dividend,2021-12-23,0.01,1.0,0,0,189987.0,640626.0
188,CASH,Dividend,2021-12-30,41.3,1.0,41,2069,190028.0,642695.0
189,CASH,Dividend,2021-12-31,63.48,1.0,63,3180,190091.0,645875.0
190,CASH,foreign tax withheld,2021-12-31,-9.52,1.0,-9,-477,190082.0,645398.0
197,CASH,Dividend,2021-12-31,183.48,1.0,183,9194,190265.0,654592.0
191,CASH,Dividend,2022-01-04,62.4,1.0,62,3126,190327.0,657718.0
193,CASH,foreign tax withheld,2022-01-07,-5.91,1.0,-5,-296,190322.0,657422.0
192,CASH,Dividend,2022-01-07,39.38,1.0,39,1973,190361.0,659395.0
194,CASH,Dividend,2022-01-14,5.2,1.0,5,260,190366.0,659655.0
196,CASH,Dividend,2022-01-18,55.08,1.0,55,2760,190421.0,662415.0
198,CASH,Dividend,2022-01-24,15.5,1.0,15,776,190436.0,663191.0
199,CASH,Dividend,2022-01-28,42.0,1.0,42,2104,190478.0,665295.0
200,CASH,Dividend,2022-01-31,116.76,1.0,116,5850,190594.0,671145.0
201,CASH,Dividend,2022-02-10,69.09,1.0,69,3462,190663.0,674607.0
202,CASH,Dividend,2022-02-15,117.5,1.0,117,5887,190780.0,680494.0
203,CASH,Dividend,2022-02-25,85.75,1.0,85,4296,190865.0,684790.0
204,CASH,Dividend,2022-03-01,51.98,1.0,51,2604,190916.0,687394.0
205,CASH,Dividend,2022-03-03,88.14,1.0,88,4416,191004.0,691810.0
206,CASH,Dividend,2022-03-24,93.0,1.0,93,4660,191097.0,696470.0
207,CASH,Dividend,2022-03-31,41.3,1.0,41,2069,191138.0,698539.0
208,CASH,Dividend,2022-04-01,62.4,1.0,62,3126,191200.0,701665.0
209,CASH,Dividend,2022-04-01,77.41,1.0,77,3879,191277.0,705544.0
210,CASH,foreign tax withheld,2022-04-01,-11.61,1.0,-11,-581,191266.0,704963.0
212,CASH,foreign tax withheld,2022-04-07,-8.87,1.0,-8,-444,191258.0,704519.0
211,CASH,Dividend,2022-04-07,59.15,1.0,59,2964,191317.0,707483.0
213,CASH,tax paid,2022-04-12,-2300.0,1.0,-2300,-115253,189017.0,592230.0
214,CASH,tax paid,2022-04-12,-600.0,1.0,-600,-30066,188417.0,562164.0
215,CASH,Dividend,2022-04-14,6.0,1.0,6,300,188423.0,562464.0
216,CASH,Dividend,2022-04-18,51.68,1.0,51,2589,188474.0,565053.0
217,CASH,Dividend,2022-04-22,15.5,1.0,15,776,188489.0,565829.0
218,CASH,Dividend,2022-04-29,116.76,1.0,116,5850,188605.0,571679.0
219,CASH,Dividend,2022-05-02,184.8,1.0,184,9260,188789.0,580939.0
220,CASH,Dividend,2022-05-02,45.0,1.0,45,2254,188834.0,583193.0
221,CASH,Dividend,2022-05-06,251.37,1.0,251,12596,189085.0,595789.0
222,CASH,foreign tax withheld,2022-05-06,-37.71,1.0,-37,-1889,189048.0,593900.0
223,CASH,Dividend,2022-05-09,64.19,1.0,64,3216,189112.0,597116.0
224,CASH,Dividend,2022-05-17,117.5,1.0,117,5887,189229.0,603003.0
225,CASH,Dividend,2022-05-31,85.75,1.0,85,4296,189314.0,607299.0
226,CASH,Dividend,2022-06-07,85.26,1.0,85,4272,189399.0,611571.0
227,CASH,Dividend,2022-06-09,93.0,1.0,93,4660,189492.0,616231.0
228,CASH,Dividend,2022-06-09,51.98,1.0,51,2604,189543.0,618835.0
229,CASH,Dividend,2022-06-30,45.5,1.0,45,2280,189588.0,621115.0
231,CASH,Dividend,2022-07-01,75.06,1.0,75,3761,189663.0,624876.0
232,CASH,foreign tax withheld,2022-07-01,-11.26,1.0,-11,-564,189652.0,624312.0
230,CASH,Dividend,2022-07-01,62.4,1.0,62,3126,189714.0,627438.0
233,CASH,Dividend,2022-07-08,59.15,1.0,59,2964,189773.0,630402.0
234,CASH,foreign tax withheld,2022-07-08,-8.88,1.0,-8,-444,189765.0,629958.0
235,CASH,Dividend,2022-07-11,188.76,1.0,188,9458,189953.0,639416.0
236,CASH,Dividend,2022-07-18,51.68,1.0,51,2589,190004.0,642005.0
237,CASH,Dividend,2022-07-18,6.0,1.0,6,300,190010.0,642305.0
238,CASH,Dividend,2022-07-22,15.5,1.0,15,776,190025.0,643081.0
240,CASH,Dividend,2022-07-29,116.76,1.0,116,5850,190141.0,648931.0
239,CASH,Dividend,2022-07-29,45.0,1.0,45,2254,190186.0,651185.0
241,CASH,Dividend,2022-08-09,64.19,1.0,64,3216,190250.0,654401.0
242,CASH,Dividend,2022-08-15,125.01,1.0,125,6264,190375.0,660665.0
243,CASH,foreign tax withheld,2022-08-15,-18.75,1.0,-18,-939,190357.0,659726.0
244,CASH,Dividend,2022-08-16,116.09,1.0,116,5817,190473.0,665543.0
245,CASH,Dividend,2022-09-01,51.98,1.0,51,2604,190524.0,668147.0
246,CASH,Dividend,2022-09-01,85.26,1.0,85,4272,190609.0,672419.0
247,CASH,Dividend,2022-09-09,93.0,1.0,93,4660,190702.0,677079.0
248,CASH,Dividend,2022-09-30,45.5,1.0,45,2280,190747.0,679359.0
249,CASH,Dividend,2022-10-03,62.4,1.0,62,3126,190809.0,682485.0
251,CASH,foreign tax withheld,2022-10-04,-10.62,1.0,-10,-532,190799.0,681953.0
250,CASH,Dividend,2022-10-04,70.77,1.0,70,3546,190869.0,685499.0
252,CASH,Dividend,2022-10-07,59.15,1.0,59,2964,190928.0,688463.0
253,CASH,foreign tax withheld,2022-10-07,-8.87,1.0,-8,-444,190920.0,688019.0
254,CASH,Tax Prep Fees,2022-10-13,-90.0,1.0,-90,-4509,190830.0,683510.0
255,CASH,Dividend,2022-10-17,6.0,1.0,6,300,190836.0,683810.0
256,CASH,Dividend,2022-10-18,59.28,1.0,59,2970,190895.0,686780.0
257,CASH,Dividend,2022-10-21,15.5,1.0,15,776,190910.0,687556.0
258,CASH,Dividend,2022-10-27,194.04,1.0,194,9723,191104.0,697279.0
260,CASH,Dividend,2022-10-28,39.75,1.0,39,1991,191143.0,699270.0
259,CASH,Tax Prep Fees,2022-10-28,-1520.0,1.0,-1520,-76167,189623.0,623103.0
261,CASH,Dividend,2022-10-31,115.37,1.0,115,5781,189738.0,628884.0
262,CASH,Dividend,2022-11-09,64.19,1.0,64,3216,189802.0,632100.0
263,CASH,Dividend,2022-11-15,116.09,1.0,116,5817,189918.0,637917.0
264,CASH,Dividend,2022-12-01,51.98,1.0,51,2604,189969.0,640521.0
265,CASH,Dividend,2022-12-01,85.26,1.0,85,4272,190054.0,644793.0
266,CASH,Dividend,2022-12-09,102.0,1.0,102,5111,190156.0,649904.0
267,CASH,Dividend,2022-12-29,45.5,1.0,45,2280,190201.0,652184.0
269,CASH,foreign tax withheld,2022-12-30,-10.69,1.0,-10,-535,190191.0,651649.0
268,CASH,Dividend,2022-12-30,71.27,1.0,71,3571,190262.0,655220.0
271,CASH,Dividend,2022-12-31,15.76,1.0,15,789,190277.0,656009.0
270,CASH,Dividend,2023-01-03,75.0,1.0,75,3758,190352.0,659767.0
272,CASH,Dividend,2023-01-09,59.15,1.0,59,2964,190411.0,662731.0
273,CASH,foreign tax withheld,2023-01-09,-8.87,1.0,-8,-444,190403.0,662287.0
